Account,2024-04-05,2024-04-08,2024-05-03,2024-04-17,2024-05-10,2024-05-15,2024-05-08,2024-05-09,2024-05-20,Total Follows
Suyu0x,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
bessemerVP,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
blockchainkor,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0xKanekiKen,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
OrRXXaWWvT,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
usmanm,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
GumiCryptos,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
valoryag,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
alexrusnak,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
david_enim,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
BracketHQ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
GajukECROn,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
autonolas,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
dzastr_eth,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Chipagosfinest,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
wormholeFDN,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
KiwiNewsHQ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
EDCON2024,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
PupsToken,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
BotanixLabs,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
aubreystrobel,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
she256,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
statemindio,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
NinaSuthers,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0pL8u9cdNY,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
marvelgirl_eth,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
alexarnault,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
RepLangworthy,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
CryptoJelleNL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
timsteno,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Ix6dovncRx,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
bagehots,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
wizard_waterloo,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
bloombergTV,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SpecialSitsNews,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
brokendown_node,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
BloombergRadio,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
dsundheim,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
nocturne_xyz,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Rmrm1xhGJF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
WillemSchroe,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
theaubservation,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
trylolli,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
roshunpatel,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
meshmapxyz,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
GQlT9krjES,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
MSFTResearch,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
collectionist,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
MacBudkowski,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0xNickAllen,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
blockchainFF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
bluefinapp,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
NozomiNetworks,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
_hrkrshnn,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
BerkeleyML,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
KryptoSeoul,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
openspaceai,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
travismo123,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
_samcampbell_,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
darryl__yeo,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
bznotes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
thetinaverse,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
rtaori13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
stephensonhmatt,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
opendanny,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
appliedint,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
buildonbase,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
block_science,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
DesktopMetal,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
eth_seoul_,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
solidity_lang,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
blocksek,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ekang426,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
YBONg34U4M,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SamsungNEXT,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
She__Fi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0xBlockhead,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ScienceDotIO,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
nexa_network,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
appsumo,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Saildrone,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
LBS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
aurorasolarinc,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
janineyorio,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0xSins,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
DUQzxEeaHT,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
tldr_x,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Jessesawa,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
supersightxyz,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
copypastacoin,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
bradfein,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
web3talks,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
everyrealm,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ampush,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
GaryVee,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
RonMiasnik,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
withponto,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
T_H_Crypto,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
therealsanchan,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
swmartin19,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
VhJYSB7fda,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
sanchans,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
search?q=%24PASTA&src=cashtag_click,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
marunetwork,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
tbtstl,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
aea_dev,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
commureOS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0xsachi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
noahkagan,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ironclad_inc,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
TIFFANYANDCO,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
zkSyncDevs,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2pVypKGRcI,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
evanmthomas,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
vivzhuu,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
bloqinc,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
aaveaave,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
BOD_Capital,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
3my1z1Azzk,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
hackachain,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ellierdavidson,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
JimmyRagosa,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
DjSterlingC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mrgntrade,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
search?q=%24AGLD&src=cashtag_click,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Wealthsimple,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
akashnetAI,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
johanknorberg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
MDtACckec6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
puffpaw_xyz,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
EthosVentures,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
kaminofinance,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0xarc_io,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
MylesOneil,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0x_brandon,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
JJdYB9AFrl,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
teamcircletech,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ovrclk_,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
TheGymBears,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
iamsvenh,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
blueberryFDN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
YtLkLOi8fE,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
sydney_sweeney,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
zeroXbrock,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
CrescendoVen,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
gocurb,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
baxus,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7MwYstp4Lz,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
finsight21,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
FikwTdLbSq,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
j_schwartzz,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SpellcraftAI,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Wikipedia,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
YouTube,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Walmart,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
ctjlewis,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Coursera,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
McDonalds,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
bigmonkeong,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
retromorphism,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
TimInCrypto,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Ryanqyz_hodl,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
wesyang,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
dlnewsinfo,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
smoJ2S80rf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
AOTMgallery,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
peter_szilagyi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
marissa,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
room40xyz,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
yOYgoS3FtN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
eboadom,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
aFBayjPQvN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
trader_marky,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mtndao,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
RIMOWA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Possiblyjt,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
CRAYsecurity,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
StakeUpProtocol,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
playdegenarena,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Kleros_IO,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SmwYjVQUem,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
LexSokolin,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
AdvisorEngine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
finblueprint,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Genventurecap,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Avara,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
StaniKulechov,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ianrborthwick,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ichuckcain,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
szYGtwJIVn,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
cityofquincy,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
apples_jimmy,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
legionfarm,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
oasisonchain,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
qubic_labs,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
AmMomentOrg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
GrowwithGuava,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
lee_bratcher,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
salwilliam,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
TiltingPoint,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Bryptos_,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
thisisoutcast,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
txblockchain_,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Syndicateio,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Sismo_eth,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kermankohli,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
sohamshah__,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
b_potts23,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
UnidentifiedDao,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
tradetheflow_,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Brandon_M_Kumar,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
cyberpunk,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
arweaveeco,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0xEdgar,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
gojoalter,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SillyPunts,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0xKawz,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SwissBorg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
WillPapper,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
FavritIO,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
theevanchen,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
pwnednomore,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
reffo_tse,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Crypto_Joe10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
search?q=%24IOTX&src=cashtag_click,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0xRyze,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
boz_menzalji,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
tmnxeq,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SwissRe,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
CreditSuisse,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
zetablockchain,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
BnoU5SK5z8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
deawonii,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
county_cap,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
jinglingcookies,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
VMcr74eLpb,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
milky_selena,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
camiinthisthang,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Keelinbannon,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
DukeLaw,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
dawninternet,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
andrena_wifi,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
BennSteil,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
dissidentsoaps,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
multicoinCap,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kettlefinance,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
GodCloseMyEyes,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Pancakesbrah,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
0TaNkknFrg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
omeragoldberg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
chaos_labs,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
usmc,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
xethalis,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
perkinscr97,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
CoVentureVC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
AliBHamed,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
coventurevc,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
heurist_ai,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
crossbeamvc,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
reonuevo,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
MoralFitnezz,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
CFTC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
VIDABWF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
einar_hb,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
samuel_spitz,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
UlvetannaHQ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
jenndefer,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
VeteransonWS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mmjukic,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
geometric_intel,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
m1lesdeuttscher,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mxhani1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
fluidkey,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7XlRvVyaY0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
CFCamerer,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Te0v7ZwD39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
VinnyLingham,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Spottedcanine,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
bismarckanlys,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ouraring,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
BlockchainatCU,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
MorlockP,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
UTc3jNAPYj,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
businessinsider,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
crypthooem,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
tsoohJ5emD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
X1XAm8tVlh,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
TerraformIndies,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
dreamsgates,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ricocreditsys,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
wassie,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
rumidotai,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mlboryczka,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
