Account,2024-04-05,2024-04-08,2024-05-03,2024-04-17,2024-05-10,2024-05-15,2024-05-08,2024-05-09,2024-05-20,Total Follows
rainbowdotme,4.0,9.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,23.0
SorellaLabs,7.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0
initc3org,6.0,8.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,23.0
LayerZero_Labs,6.0,8.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,23.0
blockworks_,7.0,8.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,23.0
waltjsmith,6.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0
sershokunin,7.0,8.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,23.0
google,6.0,8.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,23.0
hiFramework,6.0,8.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,23.0
apple,1.0,9.0,6.0,5.0,0.0,0.0,1.0,0.0,1.0,23.0
hotpot_dao,6.0,8.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,23.0
citi,7.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0
Ethereum2077,0.0,6.0,6.0,6.0,0.0,1.0,1.0,0.0,3.0,23.0
NousResearch,7.0,9.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,23.0
uber,6.0,6.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,23.0
compoundvc,5.0,7.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,23.0
OPLabsPBC,6.0,8.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,22.0
tpfZwEwGiq,7.0,9.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,22.0
PanteraCapital,5.0,9.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,22.0
MorphoLabs,6.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0
sreeramkannan,6.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,22.0
warlock_xyz,6.0,9.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0
egirl_capital,6.0,9.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0
GalaxyHQ,4.0,5.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0
MessariCrypto,5.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,22.0
opensea,4.0,8.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,22.0
Meta,4.0,6.0,3.0,6.0,1.0,0.0,1.0,0.0,1.0,22.0
fund_defi,5.0,7.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,22.0
eigen_da,4.0,5.0,2.0,9.0,0.0,1.0,1.0,0.0,0.0,22.0
vertex_protocol,5.0,9.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,22.0
ucsbcs,5.0,7.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,22.0
AcrossProtocol,4.0,9.0,1.0,5.0,0.0,0.0,1.0,2.0,0.0,22.0
FoliusVentures,5.0,5.0,0.0,8.0,0.0,1.0,1.0,0.0,1.0,21.0
degentokenbase,6.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0
conzimp,5.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,21.0
BitwiseInvest,6.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,21.0
shumochu,5.0,7.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,21.0
mantanetwork,5.0,7.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,21.0
the_matter_labs,5.0,8.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,21.0
UMAprotocol,4.0,9.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,21.0
fantasy_top_,2.0,6.0,4.0,4.0,1.0,0.0,3.0,0.0,0.0,20.0
Uniswap,3.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,7.0,20.0
oWuqLcC1c0,5.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0
metastreetxyz,6.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0
OffchainLabs,5.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0
hadronfc,5.0,5.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,20.0
dba_crypto,6.0,7.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,20.0
Citi,6.0,7.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,19.0
niftyportal,5.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,19.0
sgoldfed,5.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,19.0
solanalabs,5.0,7.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,19.0
leptokurtic_,4.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,19.0
archetypevc,5.0,6.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,19.0
variantfund,4.0,8.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,19.0
boysclubworld,7.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0
cornell_tech,5.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,19.0
Optimism,5.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,19.0
PrincetonCS,5.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,19.0
EMostaque,5.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0
calblockchain,5.0,6.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,18.0
ucberkeley,2.0,6.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,18.0
pleasrdao,5.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0
GnqSDkEWla,3.0,7.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,18.0
code4rena,5.0,6.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,18.0
j0hnwang,4.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0
protocollabs,5.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0
jupiterexchange,5.0,6.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,18.0
armorlabs,4.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0
capitalgrug,5.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0
boldleonidas,5.0,5.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,18.0
kelxyz_,5.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,18.0
anza_xyz,5.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0
anagramxyz,3.0,5.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,18.0
5I8qHw5GNN,3.0,7.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,18.0
mit,4.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0
SolanaFndn,4.0,6.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,17.0
alignedlayer,3.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,17.0
wintermute_t,3.0,5.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,17.0
chainyoda,4.0,4.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,17.0
fwbtweets,5.0,5.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,17.0
amazon,3.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,17.0
Uchicago,4.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0
myshell_ai,4.0,5.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,17.0
YCombinator,6.0,7.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,17.0
PwgYCwfWIx,5.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0
buildabera,3.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,17.0
optimism,2.0,2.0,1.0,7.0,1.0,1.0,1.0,2.0,0.0,17.0
aptoslabs,4.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0
Sorellalabs,4.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0
Anchorage,3.0,8.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,17.0
standardcrypto,4.0,6.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,17.0
class_lambda,3.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,17.0
Microsoft,3.0,2.0,3.0,6.0,0.0,1.0,2.0,0.0,0.0,17.0
search?q=%24SOL&src=cashtag_click,3.0,4.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0,17.0
robotventures,4.0,8.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,16.0
tensor_hq,5.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,16.0
MagicEden,4.0,5.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,16.0
SyncracyCapital,4.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0
Figure_robot,4.0,6.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,16.0
immutable,4.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0
PalantirTech,4.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0
0xvanbeethoven,3.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0
partyhatDAO,4.0,4.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,15.0
vFZF03OlUR,5.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0
Columbia,4.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,15.0
cryptothegame_,5.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0
ModdedQuad,4.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,15.0
